142,1,30,9.4,가을철 한정 구리킨톤 사건 - 하
143,1,40,7.6,데드맨
144,1,20,9.3,유성의 인연 1
145,1,40,9,비밀
146,1,30,8.2,왕과 서커스
147,1,30,9.5,엔드게임 살인사건
148,1,20,8.1,천공의 벌
149,1,20,9.3,백은의 잭
150,1,20,9.3,기나긴 이별
151,1,30,9.7,대인기피증이지만 탐정입니다
152,1,20,7.7,사라진 숲의 아이들
153,1,20,9.6,맏물 이야기
154,1,30,8.5,하쿠바산장 살인사건
155,1,20,9.4,애크로이드 살인 사건
156,1,30,9.6,아르키메데스는 손을 더럽히지 않는다
157,1,20,8.7,기나긴 이별
158,1,20,8.1,팔묘촌
159,1,20,9.7,기만의 살의
160,1,30,8.1,영매탐정 조즈카
161,1,20,9.2,밀실살인게임
162,1,30,8.9,천사의 나이프
163,1,20,8.7,망내인
164,1,30,8.7,졸업
165,1,30,8.4,백설 공주 살인 사건
166,1,20,10,형사의 분노
167,1,30,8.1,기억술사 1
168,1,30,9.3,옛날 옛적 어느 마을에 시체가 있었습니다
169,1,20,8.9,기억 서점
170,1,30,8.7,불로의 인형
171,1,20,9.8,닥터 데스의 유산
172,1,20,8.1,리버스
173,1,30,8.6,왼쪽 주머니에서 나온 이야기
174,1,20,8.5,오른쪽 주머니에서 나온 이야기
175,1,30,9.2,둘 중 누군가 그녀를 죽였다
176,1,30,9.6,한국추리문학상 황금펜상 수상작품집 : 2022 제16회
177,1,20,8.7,더블
178,1,40,9.2,바람의 그림자 (합본 특별판)
179,1,40,9.2,스완
180,1,20,8.8,"거짓말, 딱 한 개만 더"
181,1,20,9.4,심연
182,1,30,10,밀실살인게임 마니악스
183,1,20,9.5,선생님이 알아서는 안 되는 학교 폭력 일기
184,1,20,8.6,디지털 포트리스 1
185,1,40,8.4,대실 해밋
186,1,20,8.1,우부메의 여름
187,1,30,9.6,나는 실수로 투명인간을 죽였다
188,1,40,8.4,사소한 변화
189,1,30,8,짝꿍 : 이두온x서미애
190,1,20,8.9,별난 분홍색 부채
191,1,20,8.7,브라운 신부의 순진
192,1,30,8.4,조시 1
193,1,20,8.6,비밀의 계절 1
194,1,30,9.8,안개꽃 빌라의 탐식가들
195,1,20,8.9,황제의 코담뱃갑
196,1,40,9.9,나는 그 정도로 나쁜 사람은 아니다
197,1,40,7.5,비밀의 계절 2
198,1,30,8.2,골프장 살인사건
199,1,40,7,그로테스크
200,1,40,7.3,지혜
201,1,50,7.1,의심
202,1,20,8.4,여왕국의 성 1
203,1,20,9.1,언제까지나 쇼팽
204,1,40,8,패딩턴발 4시 50분
205,1,20,8.4,헤이즐무어 살인사건
206,1,30,8.9,곶자왈에서
207,1,30,7.8,스타일스 저택의 괴사건
208,1,40,8.9,절대정의
209,1,40,8,페이스풀 플레이스
210,1,40,10,묵찌빠
211,1,30,9.6,도쿄 한복판의 유력 용의자
214,1,20,8.2,요리코를 위해 (스페셜 리커버 에디션)
215,1,30,9.2,류
216,1,20,8.5,소문
217,1,20,7.7,스밀라의 눈에 대한 감각
218,1,30,9.1,장미의 이름 - 상
219,1,20,7.8,마력의 태동
220,1,30,8.8,루팡의 딸 2
221,1,20,9.5,악마의 계약서는 만기 되지 않는다
222,1,30,8.6,루팡의 딸 3
223,1,20,9.6,영혼 통행증
224,1,20,7.8,예지몽
225,1,20,9.2,레베카 (초판 출간 80주년 기념판)
226,1,30,9,마인드헌터
227,1,30,8.7,핑거스미스
